id,order_num,user_id,created_at,updated_at
34329,4,563,07/06/2015 05:28:54,07/15/2015 14:56:30
14028,2,6851,06/30/2015 17:06:03,07/10/2015 23:25:42
14465,7,1440,07/04/2015 06:17:39,07/14/2015 07:20:00
16294,1,1228,05/21/2015 00:15:46,05/29/2015 13:01:19
23057,4,9633,07/08/2015 01:59:32,07/12/2015 14:57:27
996,6,44,07/08/2015 22:18:22,07/19/2015 15:03:01
32493,4,3975,07/07/2015 15:33:46,07/13/2015 11:53:59
33050,2,5182,06/27/2015 04:07:23,07/06/2015 08:47:08
26335,7,4075,07/09/2015 00:52:53,07/10/2015 18:19:22
14423,1,9370,06/29/2015 01:53:29,07/05/2015 06:57:09
33446,5,3147,07/08/2015 10:23:17,07/20/2015 07:24:04
24490,3,5456,07/08/2015 23:05:29,07/13/2015 17:26:17
24549,3,2187,06/30/2015 15:50:44,07/07/2015 18:15:06
32409,5,1150,07/08/2015 16:49:28,07/15/2015 07:41:27
3379,2,8287,06/21/2015 06:16:38,06/30/2015 23:17:44
2211,2,9737,07/03/2015 16:25:04,07/08/2015 18:20:33
21000,1,5391,05/03/2015 18:57:21,05/16/2015 14:45:23
21746,1,8333,11/17/2014 04:42:36,11/21/2014 07:41:10
974,4,4390,06/16/2015 02:05:54,06/26/2015 09:16:27
10557,1,2925,01/17/2015 12:33:52,01/24/2015 02:00:41
4385,6,4386,07/09/2015 00:34:58,07/12/2015 04:24:12
13063,6,1945,07/08/2015 23:40:30,07/10/2015 00:12:38
444,1,6844,04/09/2015 02:39:16,04/11/2015 03:16:10
13754,3,3849,07/02/2015 19:15:45,07/03/2015 04:07:34
17013,2,8380,03/14/2015 02:26:03,03/23/2015 18:46:29
15002,1,4300,05/13/2015 19:26:15,05/27/2015 21:33:37
11418,4,8287,07/07/2015 16:51:31,07/17/2015 01:49:55
29065,4,7326,06/03/2015 13:39:45,06/08/2015 17:38:04
10483,5,2202,07/08/2015 13:05:20,07/22/2015 11:14:40
13101,6,829,07/08/2015 23:06:27,07/14/2015 10:44:44
32771,3,3313,06/25/2015 22:56:48,07/08/2015 14:21:10
36506,2,6933,07/07/2015 10:51:26,07/12/2015 18:12:23
7901,8,8451,07/08/2015 23:33:28,07/22/2015 19:09:33
12415,6,2411,07/09/2015 00:58:43,07/20/2015 07:35:15
6634,1,3196,02/04/2015 08:11:11,02/12/2015 07:24:33
3572,1,2428,02/13/2015 17:49:49,02/25/2015 06:16:46
12786,2,612,05/02/2015 06:40:58,05/09/2015 22:27:11
30577,2,9282,06/13/2015 05:25:40,06/14/2015 09:27:22
35498,1,6739,07/07/2015 12:25:28,07/12/2015 15:01:58
23115,2,8937,07/05/2015 22:29:52,07/15/2015 20:10:30
9897,4,8937,07/08/2015 11:05:19,07/21/2015 17:09:20
18174,5,9451,07/08/2015 07:36:36,07/09/2015 15:29:00
17882,3,9625,06/29/2015 03:52:28,07/02/2015 05:37:43
35012,2,674,02/16/2015 03:51:26,03/01/2015 17:59:37
32532,5,4953,07/08/2015 00:16:21,07/17/2015 05:03:08
775,3,2188,07/02/2015 15:35:54,07/13/2015 20:34:05
39164,1,5096,01/14/2015 10:34:32,01/22/2015 15:18:34
4592,4,2173,06/29/2015 17:16:44,07/05/2015 03:31:17
24425,1,3940,05/07/2015 15:25:38,05/17/2015 03:12:35
34352,1,8731,05/29/2015 11:38:39,05/30/2015 00:24:10
17452,2,4710,06/20/2015 18:25:54,06/30/2015 05:33:07
